Title,Year,Duration,Country,Genre,Director,Roles,Rating,Count
Субстанция,2024,2 ч 21 мин,Великобритания,ужасы,Корали Фаржа,"Деми Мур, Маргарет Куолли",6.5,428 400
Анора,2024,2 ч 19 мин,США,драма,Шон Бэйкер,"Майки Мэдисон, Марк Эйдельштейн",7.4,41 089
Баба Яга спасает Новый год,2024,N/A,Россия,фэнтези,Армен Ананикян,"Людмила Артемьева, Ян Цапник",N/A,N/A
Еретик,2024,1 ч 51 мин,США,ужасы,Скотт Бек,"Хью Грант, Софи Тэтчер",6.7,23 170
Веном: Последний танец,2024,1 ч 50 мин,США,фантастика,Келли Марсел,"Том Харди, Джуно Темпл",6.5,72 360
Моана 2,2024,1 ч 40 мин,США,мультфильм,Дэвид Деррик мл.,"Аулии Кравальо, Дуэйн Джонсон",7.0,15 033
28 лет спустя,2024,1 ч 34 мин,Великобритания,ужасы,Дэнни Бойл,"Аарон Тейлор-Джонсон, Рэйф Файнс",N/A,N/A
Совсем ошалели,2024,N/A,Россия,комедия,Ольга Френкель,"Гоша Куценко, Анна Михалкова",N/A,N/A
Домовенок Кузя,2024,2 ч 28 мин,Россия,комедия,Виктор Лакисов,"Сергей Бурунов, Гарик Харламов",N/A,N/A
Любовь Советского Союза,2024,N/A,Россия,драма,Никита Высоцкий,"Ангелина Стречина, Роман Васильев",6.8,34 351
Гладиатор 2,2024,2 ч 28 мин,США,боевик,Ридли Скотт,"Пол Мескал, Педро Паскаль",6.5,21 653
Ёлки 11,2024,1 ч 17 мин,Россия,комедия,Александр Карпиловский,"Дмитрий Нагиев, Рузиль Минекаев",N/A,N/A
Звёзды в Сибири,2024,N/A,Россия,комедия,Илья Фарфель,"Дмитрий Маликов, Клава Кока",5.8,3 454
Атака Титанов: Последняя атака,2024,2 ч 25 мин,Япония,аниме,Дзюн Сисидо,"Юки Кадзи, Юи Исикава",8.6,1 385
Поднятие уровня в одиночку. Второе пробуждение,2024,1 ч 56 мин,Япония,аниме,Сюнсукэ Накасигэ,"Юки Кадзи, Юи Исикава",N/A,N/A
28 дней спустя,2002,1 ч 53 мин,Великобритания,ужасы,Дэнни Бойл,"Киллиан Мерфи, Наоми Харрис",7.4,247 708
Приключения Паддингтона 3,2024,1 ч 46 мин,Великобритания,комедия,Дагал Уилсон,"Бен Уишоу, Хью Бонневилль",7.3,9 974
Три кота. Зимние каникулы,2024,1 ч 8 мин,Россия,мультфильм,Дмитрий Высоцкий,"Лев Кутенков, Анна Глушинская",N/A,N/A
Конклав,2024,N/A,Великобритания,триллер,Эдвард Бергер,"Рэйф Файнс, Стэнли Туччи",7.1,10 431
Граф Монте-Кристо,2024,2 ч,Франция,триллер,Александр де Ла Пательер,"Пьер Нинэ, Анаис Демустье",8.0. топ 250,67 807
Крейвен-охотник,2024,2 ч 58 мин,США,боевик,Джей Си Чендор,"Аарон Тейлор-Джонсон, Фред Хекинджер",N/A,N/A
Миссия: Красный,2024,2 ч 7 мин,США,фэнтези,Джейк Кэздан,"Дуэйн Джонсон, Крис Эванс",6.6,13 489
Один день в Стамбуле,2024,2 ч 3 мин,Россия,комедия,Авет Оганесян,"Леонид Барац, Камиль Ларин",6.3,5 110
Гарри Поттер и философский камень,2024,1 ч 24 мин,Великобритания,фэнтези,Крис Коламбус,"Дэниэл Рэдклифф, Руперт Гринт",8.3. топ 250,1 023K
Волшебник Изумрудного города. Дорога из желтого кирпича,2024,N/A,Россия,фэнтези,Игорь Волошин,"Екатерина Червова, Юрий Колокольников",N/A,N/A
Злая: Сказка о ведьме Запада,2001,2 ч 32 мин,США,мюзикл,Джон М. Чу,"Синтия Эриво, Ариана Гранде",7.4,5 344
Иван Царевич и Серый Волк 6,2 ч,N/A,Россия,мультфильм,Дарина Шмидт,"Никита Ефремов, Александр Боярский",N/A,N/A
Присяжный номер два,2024,2 ч 40 мин,США,драма,Клинт Иствуд,"Николас Холт, Тони Коллетт",6.9,5 825
Джентльмены,1 ч 25 мин,N/A,США,криминал,Гай Ричи,"Мэттью Макконахи, Чарли Ханнэм",8.6. топ 250,2 058K
Возвращение Одиссея,2024,1 ч 54 мин,Великобритания,драма,Уберто Пазолини,"Рэйф Файнс, Жюльет Бинош",6.5,831
Дикий робот,2019,1 ч 53 мин,США,мультфильм,Крис Сандерс,"Лупита Нионго, Педро Паскаль",8.4. топ 250,46 951
28 недель спустя,2024,1 ч 56 мин,Великобритания,ужасы,Хуан Карлос Фреснадильо,"Роберт Карлайл, Роуз Бирн",7.0,150 178
Один дома,2024,1 ч 42 мин,США,комедия,Крис Коламбус,"Маколей Калкин, Джо Пеши",8.3. топ 250,1 206K
Министерство неджентльменских дел,2007,1 ч 40 мин,США,боевик,Гай Ричи,"Генри Кавилл, Алан Ричсон",7.3,628 289
Интерстеллар,1990,1 ч 43 мин,США,фантастика,Кристофер Нолан,"Мэттью Макконахи, Энн Хэтэуэй",8.6. топ 250,1 018K
"Мальчик, Крот, Лис и Конь",2024,1 ч 59 мин,Великобритания,мультфильм,Питер Бэйнтон,"Джуд Кауорд Николл, Том Холландер",8.2,10 711
Беляковы в отпуске,2014,2 ч 49 мин,Россия,комедия,Александр Назаров,"Сергей Светлаков, Светлана Листова",7.3,409 199
Сто лет тому вперёд,2022,32 мин,Россия,фантастика,Александр Андрющенко,"Даша Верещагина, Марк Эйдельштейн",7.3,145 066
Братья,2024,1 ч 33 мин,Россия,комедия,Марк Горобец,"Денис Дорохов, Филипп Киркоров",N/A,N/A
Мария,2024,N/A,Италия,биография,Пабло Ларраин,"Анджелина Джоли, Пьерфранческо Фавино",7.0,1 886
Клаус,2024,2 ч 22 мин,Испания,мультфильм,Серхио Паблос,"Джейсон Шварцман, Дж.К. Симмонс",8.7. топ 250,173 312
Хищные земли,2024,N/A,США,фантастика,Джордж Нолфи,"Энтони Маки, Морена Баккарин",5.6,9 829
Соник 3,2024,2 ч 4 мин,США,фантастика,Джефф Фаулер,"Бен Шварц, Коллин О’Шонесси",N/A,N/A
Дорогой Санта,2019,1 ч 36 мин,США,фэнтези,Бобби Фаррелли,"Джек Блэк, Роберт Тимоти Смит",5.8,1 827
Новогодний шеф,2024,1 ч 31 мин,Россия,комедия,Василий Ровенский,"Павел Прилучный, Зоя Бербер",6.4,11 836
Реальная любовь,,1 ч 49 мин,Великобритания,мелодрама,Ричард Кёртис,"Хью Грант, Билл Найи",7.9. топ 250,352 196
Носферату,,N/A,США,ужасы,Роберт Эггерс,"Эмма Коррин, Аарон Тейлор-Джонсон",N/A,N/A
Гладиатор,2024,1 ч 47 мин,США,история,Ридли Скотт,"Рассел Кроу, Хоакин Феникс",8.6. топ 250,709 365
1+1,2023,1 ч 28 мин,Франция,драма,Оливье Накаш,"Франсуа Клюзе, Омар Си",8.8. топ 250,2 349K
Моана,2023,N/A,США,мультфильм,Рон Клементс,"Аулии Кравальо, Дуэйн Джонсон",7.8,478 698
Пчеловод,2024,1 ч 45 мин,Великобритания,боевик,Дэвид Эйр,"Джейсон Стэйтем, Эмми Рейвер-Лэмпман",7.2,690 830
Бруталист,2024,3 ч 35 мин,США,драма,Брэйди Корбет,"Эдриан Броуди, Фелисити Джонс",N/A,N/A
Гринч,2018,1 ч 25 мин,Франция,мультфильм,Ярроу Чейни,"Бенедикт Камбербэтч, Кэмерон Сили",7.6,359 186
Властелин колец: Война рохирримов,2024,2 ч 14 мин,США,аниме,Кэндзи Камияма,"Гайа Уайз, Брайан Кокс",N/A,N/A
Отпуск по обмену,2006,2 ч 16 мин,США,мелодрама,Нэнси Майерс,"Кэмерон Диас, Кейт Уинслет",7.9. топ 250,519 297
SHEKER. Последний шанс,2024,N/A,Казахстан,драма,Дархан Тулегенов,"Азат Жумадил, Ансар Ильясов",6.4,2 973
Начало,2010,2 ч 28 мин,США,фантастика,Кристофер Нолан,"Леонардо ДиКаприо, Джозеф Гордон-Левитт",8.7. топ 250,1 013K
Дюна: Часть вторая,2024,2 ч 46 мин,США,фантастика,Дени Вильнёв,"Тимоти Шаламе, Зендея",8.2. топ 250,173 229
"Поймай меня, если сможешь",2002,2 ч 21 мин,США,криминал,Стивен Спилберг,"Леонардо ДиКаприо, Том Хэнкс",8.5. топ 250,781 903
Гран туризмо,2023,2 ч 14 мин,Япония,боевик,Нил Бломкамп,"Арчи Мадекве, Орландо Блум",7.6,81 006
Рай под ногами матерей,2024,2 ч 17 мин,Кыргызстан,драма,Руслан Акун,"Эмиль Эсеналиев, Анаркуль Назаркулова",8.6,214 567
Другой мир: Год волка,2024,1 ч 33 мин,США,ужасы,Стивен С. Миллер,"Фрэнк Грилло, Катрина Ло",5.0,1 244
Безмолвное братство,2024,1 ч 56 мин,США,триллер,Джастин Курзель,"Джуд Лоу, Николас Холт",6.8,631
Одна жизнь,2023,1 ч 49 мин,Великобритания,драма,Джеймс Хоуз,"Энтони Хопкинс, Хелена Бонем Картер",8.5. топ 250,186 485
Битлджус Битлджус,2024,1 ч 45 мин,США,фэнтези,Тим Бёртон,"Майкл Китон, Вайнона Райдер",7.0,57 924
Территория девственниц,2007,1 ч 37 мин,Италия,мелодрама,Дэвид Лиленд,"Хейден Кристенсен, Миша Бартон",5.4,20 730
Черный замок,1 ч 55 мин,N/A,Россия,история,Кирилл Кузин,"Евгений Шварц, Линда Лапиньш",N/A,N/A
Властелин колец: Братство кольца,2001,2 ч 58 мин,Новая Зеландия,фэнтези,Питер Джексон,"Элайджа Вуд, Иэн Маккеллен",8.6. топ 250,685 052
Любовь зла,2024,1 ч 23 мин,Россия,комедия,Денис Гуляр,"Никита Кологривый, Катерина Ковальчук",7.1,126 318
Приключения Паддингтона,2024,N/A,Великобритания,комедия,Пол Кинг,"Бен Уишоу, Николь Кидман",7.3,290 177
Дэдпул и Росомаха,2014,1 ч 35 мин,США,фантастика,Шон Леви,"Райан Рейнольдс, Хью Джекман",7.4,170 052
Улыбка 2,2024,2 ч 8 мин,США,ужасы,Паркер Финн,"Наоми Скотт, Дилан Гелула",6.5,16 251
Мастер и Маргарита,2024,2 ч 7 мин,Россия,драма,Михаил Локшин,"Аугуст Диль, Юлия Снигирь",7.7,254 794
Ужасающий 3,2023,2 ч 37 мин,США,ужасы,Дэмиен Леоне,"Лорен ЛаВера, Дэвид Ховард Торнтон",6.2,39 794
Маме снова 17,2023,N/A,Россия,комедия,Анна Курбатова,"Светлана Ходченкова, Константин Крюков",7.5,278 773
Достать ножи,2024,2 ч 5 мин,США,детектив,Райан Джонсон,"Дэниэл Крэйг, Ана де Армас",8.1. топ 250,1 206K
Веном,2024,1 ч 48 мин,США,фантастика,Рубен Фляйшер,"Том Харди, Мишель Уильямс",6.9,932 090
Чужой: Ромул,2024,N/A,Великобритания,ужасы,Феде Альварес,"Кейли Спейни, Дэвид Джонссон",7.0,82 705
Остров проклятых,2019,2 ч 10 мин,США,триллер,Мартин Скорсезе,"Леонардо ДиКаприо, Марк Руффало",8.5. топ 250,1 120K
Зеленая книга,2018,1 ч 52 мин,США,биография,Питер Фаррелли,"Вигго Мортенсен, Махершала Али",8.5. топ 250,1 219K
Одержимость,2024,1 ч 59 мин,США,драма,Дэмьен Шазелл,"Майлз Теллер, Дж.К. Симмонс",8.4. топ 250,539 116
Гринч – похититель Рождества,2009,2 ч 18 мин,США,фэнтези,Рон Ховард,"Джим Керри, Тейлор Момсен",6.8,193 629
Мой папа — тигр,2018,2 ч 10 мин,Казахстан,комедия,Ернар Нургалиев,"Жанболат Найзабеков, Зарина Кармен",7.4,23 637
Бойцовский клуб,2013,1 ч 46 мин,США,триллер,Дэвид Финчер,"Эдвард Нортон, Брэд Питт",8.7. топ 250,1 095K
Не говори никому,2000,1 ч 44 мин,США,триллер,Джеймс Уоткинс,"Джеймс Макэвой, Маккензи Дэвис",6.6,32 507
Бегущий по лезвию 2049,,2024,США,фантастика,Дени Вильнёв,"Райан Гослинг, Харрисон Форд",7.8. топ 250,461 501
Игра в имитацию,,N/A,Великобритания,биография,Мортен Тильдум,"Бенедикт Камбербэтч, Кира Найтли",7.7. топ 250,407 275
Оппенгеймер,1999,2 ч 19 мин,США,биография,Кристофер Нолан,"Киллиан Мерфи, Эмили Блант",8.1. топ 250,269 138
Месть земли,2024,1 ч 50 мин,Китай,боевик,Ли Цзунь,"Чжу Илун, Хуан Чжичжун",5.7,9 015
Маша и Медведь в кино: Парк чудес,2017,2 ч 44 мин,Россия,мультфильм,Василий Бедошвили,"Юлия Зуникова, Валерия Шевченко",N/A,N/A
Бар «МоскваЧики»,2014,1 ч 54 мин,Россия,комедия,Анарио Мамедов,"Яна Кошкина, Марк Богатырев",6.4,261 097
Плохая девочка,2023,3 ч,Нидерланды,триллер,Халина Рейн,"Николь Кидман, Харрис Дикинсон",N/A,N/A
Веном 2,2021,1 ч 54 мин,США,фантастика,Энди Серкис,"Том Харди, Вуди Харрельсон",6.2,475 500
Царство небесное,2024,58 мин,США,боевик,Ридли Скотт,"Орландо Блум, Ева Грин",7.6,198 508
Отступники,2024,N/A,США,криминал,Мартин Скорсезе,"Леонардо ДиКаприо, Мэтт Дэймон",8.5. топ 250,488 264
Ручная кладь,2024,1 ч 34 мин,США,боевик,Жауме Кольет-Серра,"Тэрон Эджертон, Джейсон Бейтман",N/A,N/A
Ловушка,2024,N/A,США,триллер,М. Найт Шьямалан,"Джош Хартнетт, Ариэль Джой Донохью",6.4,47 078
Руки Вверх!,,1 ч 54 мин,Россия,музыка,Аскар Узабаев,"Влад Прохоров, Илья Русь",N/A,N/A
Эмилия Перес,,N/A,Франция,мюзикл,Жак Одиар,"Зои Салдана, Карла Гаскон",6.8,2 058
Джокер: Безумие на двоих,2021,1 ч 36 мин,США,драма,Тодд Филлипс,"Хоакин Феникс, Леди Гага",5.8,55 183
Другие,2001,1 ч 41 мин,Испания,ужасы,Алехандро Аменабар,"Николь Кидман, Финола Флэнаган",7.9. топ 250,285 989
Сайлент Хилл,2006,2 ч 5 мин,Канада,ужасы,Кристоф Ган,"Рада Митчелл, Джоделль Ферланд",7.2,223 996
Микки 17,,2 ч 19 мин,США,фантастика,Пон Джун-хо,"Роберт Паттинсон, Марк Руффало",N/A,N/A
Горизонты: Часть 1,,N/A,США,вестерн,Кевин Костнер,"Кевин Костнер, Сиенна Миллер",7.2,65 447
Стажёр,2024,3 ч 1 мин,США,мелодрама,Нэнси Майерс,"Роберт Де Ниро, Энн Хэтэуэй",7.6,393 273
Солнцестояние,2015,2 ч 1 мин,США,ужасы,Ари Астер,"Флоренс Пью, Джек Рейнор",6.4,361 511
Операция «Ы» и другие приключения Шурика,2019,2 ч 28 мин,СССР,комедия,Леонид Гайдай,"Александр Демьяненко, Наталья Селезнёва",8.7. топ 250,1 029K
Банши Инишерина,1965,1 ч 35 мин,Великобритания,драма,Мартин Макдона,"Колин Фаррелл, Брендан Глисон",7.5,78 559
Максин XXX,1965,N/A,США,триллер,Тай Уэст,"Миа Гот, Элизабет Дебики",6.0,62 200
Иван Васильевич меняет всё,2022,1 ч 54 мин,Россия,комедия,Миша Семичев,"Тимур Батрутдинов, Демис Карибидис",6.5,565 281
Идиократия,2024,1 ч 43 мин,США,фантастика,Майк Джадж,"Люк Уилсон, Майя Рудольф",6.6,100 844
Ветреная река,2023,1 ч 46 мин,Великобритания,детектив,Тейлор Шеридан,"Джереми Реннер, Элизабет Олсен",7.6,279 541
Арман,2023,N/A,Норвегия,драма,Хальвдан Ульман Тёндель,"Ренате Реинсве, Эллен Доррит Петерсен",6.8,301
5 сентября,2005,1 ч 24 мин,Германия,триллер,Тим Фельбаум,"Питер Сарсгаард, Джон Магаро",N/A,N/A
Шестое чувство,2016,1 ч 47 мин,США,детектив,М. Найт Шьямалан,"Брюс Уиллис, Хейли Джоэл Осмент",8.2. топ 250,378 067
Марсианин,2024,1 ч 57 мин,США,фантастика,Ридли Скотт,"Мэтт Дэймон, Джессика Честейн",7.8,659 358
За Палыча!,2024,1 ч 31 мин,Россия,комедия,Андрей Богатырев,"Сергей Шакуров, Евгений Зарубин",5.9,30 616
Неожиданные связи,1999,1 ч 47 мин,Франция,комедия,Жюльен Эрве,"Кристиан Клавье, Дидье Бурдон",7.2,158 817
"Знакомьтесь, Джо Блэк",2015,2 ч 24 мин,США,мелодрама,Мартин Брест,"Брэд Питт, Энтони Хопкинс",8.1. топ 250,403 346
На Западном фронте без перемен,2023,1 ч 30 мин,Германия,военный,Эдвард Бергер,"Феликс Каммерер, Альбрехт Шух",7.6,88 561
Моя вина,2023,N/A,Испания,мелодрама,Доминго Гонсалес,"Николь Уоллес, Габриель Гевара",7.2,76 752
Балканский рубеж,2024,1 ч 32 мин,Россия,боевик,Андрей Волгин,"Антон Пампушный, Гоша Куценко",8.0. топ 250,426 843
Служебный роман,1998,2 ч 58 мин,СССР,мелодрама,Эльдар Рязанов,"Андрей Мягков, Алиса Фрейндлих",8.3,646 218
Тариф Новогодний,2022,2 ч 28 мин,Россия,фэнтези,Евгений Бедарев,"Максим Матвеев, Валерия Ланская",7.1,77 623
